"scenarioId","scenarioStatus","metric","actualTB","expectedTB","deltaTB","deltaPct","metricStatus"
"ix-no-gfs-long-archive","PASS","Planned Capacity Tier","1","1","0","0","PASS"
"ix-no-gfs-long-archive","PASS","Planned Archive Tier","0","0","0","0","PASS"
"ix-no-gfs-long-archive","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"ix-no-gfs-long-archive","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"ix-no-gfs-long-archive","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"ix-retention-variant-r7","PASS","Planned Performance Tier","1.15","1.15","0","0","PASS"
"ix-retention-variant-r7","PASS","Planned Capacity Tier","0.83","0.83","0","0","PASS"
"ix-retention-variant-r7","PASS","Planned Archive Tier","0.88","0.88","0","0","PASS"
"ix-retention-variant-r7","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"ix-retention-variant-r7","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"ix-retention-variant-r7","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"ix-retention-variant-r60","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"ix-retention-variant-r60","PASS","Planned Capacity Tier","2.08","2.08","0","0","PASS"
"ix-retention-variant-r60","PASS","Planned Archive Tier","1.76","1.76","0","0","PASS"
"ix-retention-variant-r60","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"ix-retention-variant-r60","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"ix-retention-variant-r60","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"ix-high-change-rate-drift-2yr","PASS","Planned Capacity","7.14","7.14","0","0","PASS"
"ix-high-change-rate-drift-2yr","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"ix-high-change-rate-drift-2yr","PASS","File Type Size - Incremental","0.2","0.2","0","0","PASS"
"ix-high-change-rate-drift-2yr","PASS","File Type Size - SyntheticFull","0.2","0.2","0","0","PASS"
"ix-short-retention-drift-3yr","PASS","Planned Capacity","1.97","1.97","0","0","PASS"
"ix-short-retention-drift-3yr","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"ix-short-retention-drift-3yr","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"ix-short-retention-drift-3yr","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"ix-policy-change-mid-run","PASS","Planned Capacity","1.63","1.63","0","0","PASS"
"ix-policy-change-mid-run","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"ix-policy-change-mid-run","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"ix-policy-change-mid-run","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"ix-gfs-only-policy","PASS","Planned Capacity","26.22","26.23","0","0","PASS"
"ix-gfs-only-policy","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"ix-gfs-only-policy","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"ix-gfs-only-policy","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"ix-two-jobs-one-repo","PASS","Planned Capacity","1.55","1.55","0","0","PASS"
"ix-two-jobs-one-repo","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"ix-two-jobs-one-repo","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"ix-two-jobs-one-repo","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"od-weekly-gfs-cardinality-exact","PASS","Planned Capacity","1.65","1.65","0","0","PASS"
"od-weekly-gfs-cardinality-exact","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"od-weekly-gfs-cardinality-exact","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"od-weekly-gfs-cardinality-exact","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"od-monthly-yearly-cardinality-exact","PASS","Planned Capacity","2.93","2.93","0","0","PASS"
"od-monthly-yearly-cardinality-exact","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"od-monthly-yearly-cardinality-exact","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"od-monthly-yearly-cardinality-exact","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"od-tier-residency-per-point","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"od-tier-residency-per-point","PASS","Planned Capacity Tier","1.18","1.18","0","0","PASS"
"od-tier-residency-per-point","PASS","Planned Archive Tier","0","0","0","0","PASS"
"od-tier-residency-per-point","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"od-tier-residency-per-point","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"od-tier-residency-per-point","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"od-gen-lifecycle-states","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"od-gen-lifecycle-states","PASS","Planned Capacity Tier","1.18","1.18","0","0","PASS"
"od-gen-lifecycle-states","PASS","Planned Archive Tier","0","0","0","0","PASS"
"od-gen-lifecycle-states","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"od-gen-lifecycle-states","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"od-gen-lifecycle-states","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"od-chain-phase-transitions","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"od-chain-phase-transitions","PASS","Planned Capacity Tier","0.82","0.82","0","0","PASS"
"od-chain-phase-transitions","PASS","Planned Archive Tier","0","0","0","0","PASS"
"od-chain-phase-transitions","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"od-chain-phase-transitions","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"od-chain-phase-transitions","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"od-sobr-copy-full-lifecycle","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"od-sobr-copy-full-lifecycle","PASS","Planned Capacity Tier","1.23","1.23","0","0","PASS"
"od-sobr-copy-full-lifecycle","PASS","Planned Archive Tier","0.7","0.7","0","0","PASS"
"od-sobr-copy-full-lifecycle","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"od-sobr-copy-full-lifecycle","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"od-sobr-copy-full-lifecycle","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
