"scenarioId","scenarioStatus","metric","actualTB","expectedTB","deltaTB","deltaPct","metricStatus"
"das-mixed-2w1m1y-large-r7","PASS","Planned Capacity","30.32","30.32","0","0","PASS"
"das-mixed-2w1m1y-large-r7","PASS","File Type Size - Full","6.66","6.66","0","0","PASS"
"das-mixed-2w1m1y-large-r7","PASS","File Type Size - Incremental","0.67","0.67","0","0","PASS"
"das-mixed-2w1m1y-large-r7","PASS","File Type Size - SyntheticFull","0.67","0.67","0","0","PASS"
"sobr-mixed-2w1m1y-small-r60","PASS","Planned Performance Tier","1.39","1.39","0","0","PASS"
"sobr-mixed-2w1m1y-small-r60","PASS","Planned Capacity Tier","2.56","2.56","0","0","PASS"
"sobr-mixed-2w1m1y-small-r60","PASS","Planned Archive Tier","0.64","0.64","0","0","PASS"
"sobr-mixed-2w1m1y-small-r60","PASS","File Type Size - Full","0.67","0.67","0","0","PASS"
"sobr-mixed-2w1m1y-small-r60","PASS","File Type Size - Incremental","0.03","0.03","0","0.08","PASS"
"sobr-mixed-2w1m1y-small-r60","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.08","PASS"
"sobr-mixed-1m1y-small-r60","PASS","Planned Performance Tier","1.39","1.39","0","0","PASS"
"sobr-mixed-1m1y-small-r60","PASS","Planned Capacity Tier","2.56","2.56","0","0","PASS"
"sobr-mixed-1m1y-small-r60","PASS","Planned Archive Tier","0.64","0.64","0","0","PASS"
"sobr-mixed-1m1y-small-r60","PASS","File Type Size - Full","0.67","0.67","0","0","PASS"
"sobr-mixed-1m1y-small-r60","PASS","File Type Size - Incremental","0.03","0.03","0","0.08","PASS"
"sobr-mixed-1m1y-small-r60","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.08","PASS"
"sobr-copyonly-archive-gating","PASS","Planned Performance Tier","1.39","1.39","0","0","PASS"
"sobr-copyonly-archive-gating","PASS","Planned Capacity Tier","1.8","1.8","0","0","PASS"
"sobr-copyonly-archive-gating","PASS","Planned Archive Tier","0","0","0","0","PASS"
"sobr-copyonly-archive-gating","PASS","File Type Size - Full","0.67","0.67","0","0","PASS"
"sobr-copyonly-archive-gating","PASS","File Type Size - Incremental","0.03","0.03","0","0.08","PASS"
"sobr-copyonly-archive-gating","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.08","PASS"
"sobr-matrix-move-lt-retention","PASS","Planned Performance Tier","1.39","1.39","0","0","PASS"
"sobr-matrix-move-lt-retention","PASS","Planned Capacity Tier","1.1","1.1","0","0","PASS"
"sobr-matrix-move-lt-retention","PASS","Planned Archive Tier","0","0","0","0","PASS"
"sobr-matrix-move-lt-retention","PASS","File Type Size - Full","0.67","0.67","0","0","PASS"
"sobr-matrix-move-lt-retention","PASS","File Type Size - Incremental","0.03","0.03","0","0.08","PASS"
"sobr-matrix-move-lt-retention","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.08","PASS"
"sobr-matrix-move-eq-retention","PASS","Planned Performance Tier","1.39","1.39","0","0","PASS"
"sobr-matrix-move-eq-retention","PASS","Planned Capacity Tier","0","0","0","0","PASS"
"sobr-matrix-move-eq-retention","PASS","Planned Archive Tier","0","0","0","0","PASS"
"sobr-matrix-move-eq-retention","PASS","File Type Size - Full","0.67","0.67","0","0","PASS"
"sobr-matrix-move-eq-retention","PASS","File Type Size - Incremental","0.03","0.03","0","0.08","PASS"
"sobr-matrix-move-eq-retention","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.08","PASS"
"sobr-matrix-move-gt-retention","PASS","Planned Performance Tier","1.39","1.39","0","0","PASS"
"sobr-matrix-move-gt-retention","PASS","Planned Capacity Tier","0","0","0","0","PASS"
